Ref_Date,GEO,INS,RAN,STA,Vector,Coordinate,Value
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Full professor,Total teaching staff,v113286602,1.1.2.1,294.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Full professor,Teaching staff excluded,v113286603,1.1.2.2,12.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Full professor,Average (dollars),v113286604,1.1.2.3,153550.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Full professor,Median (dollars),v113286605,1.1.2.4,151325.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Full professor,10th Percentile (dollars),v113286606,1.1.2.5,129900.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Full professor,90th Percentile (dollars),v113286607,1.1.2.6,174875.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Total teaching staff,v113286608,1.1.3.1,42.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Teaching staff excluded,v113286609,1.1.3.2,12.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Average (dollars),v113286610,1.1.3.3,159675.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Median (dollars),v113286611,1.1.3.4,156425.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,10th Percentile (dollars),v113286612,1.1.3.5,132825.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,90th Percentile (dollars),v113286613,1.1.3.6,188475.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Total teaching staff,v113286614,1.1.4.1,252.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Average (dollars),v113286616,1.1.4.3,152525.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Median (dollars),v113286617,1.1.4.4,151325.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,10th Percentile (dollars),v113286618,1.1.4.5,129900.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,90th Percentile (dollars),v113286619,1.1.4.6,174875.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Associate professor,Total teaching staff,v113286620,1.1.5.1,420.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Associate professor,Teaching staff excluded,v113286621,1.1.5.2,6.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Associate professor,Average (dollars),v113286622,1.1.5.3,123500.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Associate professor,Median (dollars),v113286623,1.1.5.4,120125.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Associate professor,10th Percentile (dollars),v113286624,1.1.5.5,108475.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Associate professor,90th Percentile (dollars),v113286625,1.1.5.6,142750.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Total teaching staff,v113286626,1.1.6.1,60.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Teaching staff excluded,v113286627,1.1.6.2,x
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Average (dollars),v113286628,1.1.6.3,130300.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,Median (dollars),v113286629,1.1.6.4,128750.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,10th Percentile (dollars),v113286630,1.1.6.5,114625.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,With senior administrative duties,90th Percentile (dollars),v113286631,1.1.6.6,146775.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Total teaching staff,v113286632,1.1.7.1,363.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Teaching staff excluded,v113286633,1.1.7.2,x
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Average (dollars),v113286634,1.1.7.3,122425.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,Median (dollars),v113286635,1.1.7.4,119200.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,10th Percentile (dollars),v113286636,1.1.7.5,106350.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Without senior administrative duties,90th Percentile (dollars),v113286637,1.1.7.6,142750.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Assistant professor,Total teaching staff,v113286638,1.1.8.1,294.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Assistant professor,Teaching staff excluded,v113286639,1.1.8.2,6.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Assistant professor,Average (dollars),v113286640,1.1.8.3,98550.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Assistant professor,Median (dollars),v113286641,1.1.8.4,99900.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Assistant professor,10th Percentile (dollars),v113286642,1.1.8.5,87050.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Assistant professor,90th Percentile (dollars),v113286643,1.1.8.6,108400.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Rank below assistant professor,Total teaching staff,v113286644,1.1.9.1,18.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Rank below assistant professor,Average (dollars),v113286646,1.1.9.3,80775.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Rank below assistant professor,Median (dollars),v113286647,1.1.9.4,78500.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Rank below assistant professor,10th Percentile (dollars),v113286648,1.1.9.5,78500.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Rank below assistant professor,90th Percentile (dollars),v113286649,1.1.9.6,87700.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,All ranks combined (including deans),Total teaching staff,v113286656,1.1.11.1,1035.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,All ranks combined (including deans),Teaching staff excluded,v113286657,1.1.11.2,6.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,All ranks combined (including deans),Average (dollars),v113286658,1.1.11.3,125325.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,All ranks combined (including deans),Median (dollars),v113286659,1.1.11.4,120100.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,All ranks combined (including deans),10th Percentile (dollars),v113286660,1.1.11.5,93475.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,All ranks combined (including deans),90th Percentile (dollars),v113286661,1.1.11.6,160450.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Male,Total teaching staff,v113286662,1.1.12.1,627.0
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Male,Teaching staff excluded,v113286663,1.1.12.2,x
2016/2017,Canada,Memorial University of Newfoundland - Including medical dental,Male,Average (dollars),v113286664,1.1.12.3,129625.0
